IEVE  T1       T2       T3      W      XM212   XM223
  341     0.197     0.536     0.267  7761.972  1753.589  7473.352
  342     0.257     0.491     0.252  7576.874  1929.131  6768.856
  343     0.451     0.218     0.331  7648.150   993.971  4476.612
  344     0.655     0.101     0.244  5878.381  2018.082  2070.104
  345     0.283     0.518     0.199  6957.170  2549.304  6463.603
  346     0.399     0.412     0.190  6722.660  2660.773  5096.100
  347     0.552     0.241     0.207  6579.988  2460.894  3287.086
  348     0.192     0.438     0.370  8499.624   538.869  7532.833
  349     0.443     0.207     0.350  7717.502   767.147  4573.446
  350     0.495     0.247     0.259  7176.978  1845.859  3963.927
  351     0.328     0.368     0.304  7916.397  1309.785  5933.012
  352     0.335     0.446     0.219  7153.682  2316.656  5845.140
  353     0.449     0.318     0.232  7112.538  2157.921  4500.827
  354     0.550     0.257     0.193  6453.132  2625.028  3308.332
  355     0.452     0.189     0.359  7663.001   658.597  4472.768
  356     0.325     0.498     0.177  6609.055  2816.300  5966.635
  357     0.496     0.435     0.068  4126.101  4097.249  3942.538
  358     0.647     0.127     0.226  6060.341  2229.031  2171.794
  359     0.511     0.209     0.280  7198.399  1596.667  3766.573
  360     0.051     0.555     0.394  8524.378   256.697  9197.387
  361     0.212     0.542     0.246  7549.790  1997.687  7293.771
  362     0.267     0.497     0.236  7403.453  2118.513  6646.486
  363     0.396     0.370     0.234  7234.084  2135.740  5125.865
  364     0.297     0.499     0.205  7016.643  2485.803  6302.252
  365     0.615     0.275     0.111  5068.891  3595.832  2544.822
  366     0.584     0.261     0.154  5887.271  3077.381  2907.092
  367     0.463     0.205     0.333  7586.367   976.310  4341.143
  368     0.533     0.412     0.055  3643.136  4256.407  3507.958
  369     0.082     0.542     0.376  8555.724   457.476  8836.495
  370     0.207     0.542     0.251  7604.830  1938.140  7363.592
  371     0.281     0.545     0.173  6591.562  2852.714  6484.022
  372     0.585     0.191     0.225  6554.207  2250.510  2901.492
  373     0.361     0.279     0.360  8102.463   656.912  5535.437
  374     0.396     0.226     0.378  7995.397   439.229  5126.477
  375     0.569     0.183     0.248  6751.185  1971.267  3085.626
  376     0.147     0.558     0.295  8031.901  1417.775  8068.606
  377     0.349     0.362     0.290  7778.252  1483.505  5687.777
  378     0.021     0.577     0.402  7919.653   152.661  9555.210
  379     0.391     0.318     0.292  7701.813  1458.682  5192.261
  380     0.647     0.114     0.238  6021.306  2090.490  2160.522
  381     0.686     0.037     0.277  4367.964  1631.461  1708.418
  382     0.065     0.590     0.345  8317.860   831.800  9031.400
  383     0.473     0.224     0.303  7467.528  1327.369  4217.404
  384     0.023     0.594     0.383  7924.695   383.498  9530.452
  385     0.650     0.033     0.317  4334.674  1158.247  2129.684
  386     0.624     0.292     0.085  4460.776  3902.479  2442.196
  387     0.494     0.315     0.190  6574.417  2653.017  3968.467
  388     0.648     0.216     0.136  5421.066  3289.517  2155.697
  389     0.534     0.390     0.076  4349.952  3999.137  3501.076
  390     0.496     0.306     0.198  6660.224  2560.738  3946.399
  391     0.208     0.521     0.271  7798.744  1697.953  7347.376
  392     0.554     0.223     0.223  6698.837  2270.203  3261.389
  393     0.514     0.440     0.046  3315.563  4361.264  3733.822
  394     0.449     0.470     0.081  4553.767  3942.279  4506.579
  395     0.197     0.424     0.379  8542.584   424.661  7474.461
  396     0.639     0.264     0.097  4728.186  3755.485  2260.090
  397     0.406     0.408     0.186  6668.005  2701.152  5009.690
  398     0.190     0.578     0.232  7407.641  2164.545  7558.776
  399     0.654     0.036     0.310  4479.453  1242.549  2084.577
  400     0.347     0.418     0.235  7315.645  2125.352  5711.632
  401     0.388     0.266     0.346  7965.206   820.209  5223.502
  402     0.613     0.366     0.022  2121.546  4646.106  2568.452
  403     0.679     0.155     0.166  5583.622  2936.612  1789.078
  404     0.499     0.249     0.252  7119.387  1927.470  3916.884
  405     0.235     0.543     0.223  7282.570  2270.090  7033.892
  406     0.620     0.109     0.271  6235.770  1702.781  2490.034
  407     0.216     0.388     0.396  8591.113   228.174  7255.915
  408     0.466     0.210     0.324  7558.051  1072.421  4305.852
  409     0.653     0.044     0.303  4800.743  1326.865  2090.429
  410     0.373     0.456     0.171  6478.508  2886.802  5398.880
  411     0.579     0.058     0.364  5628.562   610.542  2971.522
  412     0.501     0.329     0.171  6307.577  2886.204  3892.288
  413     0.620     0.061     0.319  5509.452  1137.103  2481.417
  414     0.608     0.101     0.291  6246.606  1466.318  2620.990
  415     0.142     0.509     0.349  8421.237   778.297  8131.285
  416     0.556     0.234     0.210  6593.681  2421.845  3242.183
  417     0.416     0.469     0.115  5428.938  3540.877  4897.552
  418     0.443     0.394     0.162  6270.828  2987.336  4567.752
  419     0.447     0.488     0.065  4068.372  4128.948  4531.050
  420     0.412     0.526     0.062  3964.497  4170.896  4941.960
  421     0.136     0.517     0.347  8411.513   799.868  8199.372
  422     0.186     0.495     0.319  8196.650  1134.510  7609.630
  423     0.380     0.264     0.356  8026.623   695.993  5318.114
  424     0.476     0.218     0.306  7459.884  1294.514  4180.204
  425     0.539     0.393     0.068  4106.907  4092.483  3446.262
  426     0.615     0.267     0.119  5226.884  3499.878  2546.130
  427     0.580     0.181     0.239  6646.888  2078.887  2954.534
  428     0.572     0.231     0.197  6414.045  2578.237  3051.043
  429     0.620     0.110     0.270  6235.479  1710.027  2486.511
  430     0.565     0.279     0.157  5970.701  3051.227  3136.295
  431     0.656     0.111     0.233  5924.590  2146.966  2058.385
  432     0.645     0.230     0.125  5255.765  3423.385  2190.051
  433     0.518     0.210     0.271  7131.476  1698.145  3685.883
  434     0.234     0.474     0.292  7950.630  1457.785  7036.373
  435     0.081     0.588     0.331  8267.482   998.830  8839.336
  436     0.534     0.222     0.244  6924.625  2020.738  3500.839
  437     0.470     0.476     0.054  3650.080  4266.013  4257.127
  438     0.456     0.509     0.035  2885.994  4485.214  4425.914
  439     0.348     0.544     0.108  5299.215  3629.320  5688.847
  440     0.298     0.346     0.356  8263.299   694.910  6285.649
  441     0.225     0.515     0.260  7680.019  1834.122  7149.741
  442     0.494     0.403     0.103  5077.507  3687.999  3966.378
  443     0.531     0.226     0.243  6933.373  2031.360  3537.304
  444     0.323     0.311     0.366  8241.850   579.595  5986.636
  445     0.386     0.284     0.329  7909.963  1013.058  5240.562
  446     0.430     0.381     0.189  6664.486  2675.155  4723.562
  447     0.589     0.179     0.232  6565.212  2162.185  2856.145
  448     0.529     0.376     0.095  4850.955  3780.966  3555.365
  449     0.069     0.594     0.338  8282.665   916.194  8990.771
  450     0.522     0.192     0.286  7155.652  1521.609  3644.964
  451     0.444     0.204     0.351  7709.897   754.573  4557.152
  452     0.326     0.288     0.386  8298.858   343.928  5959.282
  453     0.163     0.586     0.251  7622.762  1938.490  7879.928
  454     0.490     0.386     0.124  5551.732  3432.300  4021.678
  455     0.494     0.363     0.143  5889.520  3213.491  3970.776
  456     0.484     0.309     0.207  6781.623  2459.926  4092.419
  457     0.571     0.070     0.359  5984.713   669.220  3057.470
  458     0.375     0.451     0.174  6534.439  2841.581  5379.533
  459     0.419     0.316     0.266  7458.841  1762.722  4862.187
  460     0.482     0.315     0.203  6749.376  2500.951  4119.237
  461     0.236     0.386     0.378  8480.139   438.716  7012.914
  462     0.295     0.374     0.331  8141.364   989.811  6321.757
  463     0.645     0.151     0.204  6040.195  2495.845  2184.584
  464     0.462     0.231     0.307  7533.014  1276.048  4345.579
  465     0.188     0.410     0.402  8655.140   161.265  7578.184
  466     0.665     0.095     0.239  5751.649  2074.838  1952.084
