IEVE  T1       T2       T3      W      XM212   XM223
  306     0.301     0.499     0.200 12337.005  5997.104  3973.706
  307     0.353     0.437     0.210 12337.005  5793.043  2945.180
  308     0.378     0.227     0.395 12337.005  2093.211  2442.650
  309     0.255     0.380     0.365 12337.005  2703.110  4904.531
  310     0.323     0.305     0.372 12337.005  2566.565  3542.559
  311     0.387     0.428     0.185 12337.005  6291.661  2258.612
  312     0.252     0.338     0.410 12337.005  1795.437  4969.917
  313     0.419     0.443     0.137 12337.005  7251.201  1613.299
  314     0.265     0.451     0.284 12337.005  4316.910  4704.673
  315     0.462     0.149     0.389 12337.005  2219.031   764.670
  316     0.442     0.076     0.482 12337.005   357.850  1164.521
  317     0.445     0.103     0.452 12337.005   969.048  1090.581
  318     0.451     0.306     0.243 12337.005  5149.925   975.287
  319     0.299     0.370     0.331 12337.005  3379.231  4016.957
  320     0.280     0.442     0.278 12337.005  4435.284  4407.736
  321     0.413     0.296     0.291 12337.005  4175.482  1736.153
  322     0.445     0.312     0.243 12337.005  5131.822  1103.543
  323     0.466     0.039     0.495 12337.005   108.765   672.145
  324     0.479     0.260     0.261 12337.005  4779.428   420.654
  325     0.262     0.462     0.276 12337.005  4487.968  4751.459
  326     0.435     0.134     0.431 12337.005  1371.666  1298.510
  327     0.480     0.086     0.434 12337.005  1323.109   399.458
  328     0.494     0.114     0.392 12337.005  2155.141   115.150
  329     0.411     0.241     0.348 12337.005  3048.858  1776.135
  330     0.199     0.349     0.452 12337.005   955.109  6018.576
  331     0.422     0.172     0.406 12337.005  1886.444  1557.310
  332     0.366     0.382     0.252 12337.005  4954.344  2685.128
  333     0.363     0.206     0.431 12337.005  1380.734  2745.727
  334     0.447     0.378     0.175 12337.005  6504.880  1061.656
  335     0.450     0.131     0.418 12337.005  1633.121   996.147
  336     0.476     0.107     0.417 12337.005  1662.067   473.095
  337     0.268     0.374     0.358 12337.005  2848.817  4638.176
  338     0.155     0.386     0.458 12337.005   838.365  6890.188
  339     0.449     0.191     0.359 12337.005  2815.657  1011.943
  340     0.406     0.174     0.420 12337.005  1597.784  1881.783
  341     0.450     0.230     0.320 12337.005  3601.908   998.956
  342     0.261     0.445     0.294 12337.005  4119.562  4777.454
  343     0.268     0.315     0.417 12337.005  1663.660  4638.141
  344     0.440     0.495     0.065 12337.005  8702.080  1195.674
  345     0.432     0.292     0.276 12337.005  4484.764  1360.498
  346     0.411     0.347     0.242 12337.005  5159.119  1782.718
  347     0.448     0.205     0.347 12337.005  3051.151  1040.625
  348     0.494     0.187     0.319 12337.005  3623.889   117.629
  349     0.277     0.465     0.258 12337.005  4846.146  4463.642
  350     0.239     0.448     0.314 12337.005  3728.312  5226.046
  351     0.485     0.281     0.234 12337.005  5320.600   291.557
  352     0.397     0.332     0.270 12337.005  4590.107  2054.871
