%#LIBRARY    ENDF/B-VIII.0
%#REACTION   O-16(N,TOT),SIG
%#NUCLEUS    O-16
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
4.805e+06        1.19683
4.82e+06        1.6178
4.83e+06        1.93052
4.84e+06        2.03635
4.85e+06        1.9279
4.8625e+06        1.70904
4.875e+06        1.52076
4.89e+06        1.35822
4.9e+06        1.27884
4.91e+06        1.2125
4.925e+06        1.13544
4.94e+06        1.07383
4.96e+06        1.01304
4.99e+06        0.973335
5.0125e+06        1.02547
5.04e+06        1.26501
5.0625e+06        1.56143
5.085e+06        1.79986
5.103e+06        2.11947
5.107e+06        2.2853
5.113e+06        2.68698
5.119e+06        3.28162
5.125e+06        3.62171
5.131e+06        3.17836
5.137e+06        2.53786
5.143e+06        2.10724
5.15e+06        1.82073
5.18e+06        1.41111
5.21e+06        1.27717
5.23e+06        1.21962
5.25e+06        1.17649
5.28e+06        1.1204
5.301e+06        1.08404
5.30225e+06        1.08287
5.30312e+06        1.08453
5.30381e+06        1.0878
5.30409e+06        1.09014
5.30462e+06        1.09746
5.30484e+06        1.10156
5.305e+06        1.10548
5.30516e+06        1.11383
5.30566e+06        1.14229
5.30584e+06        1.1558
5.30594e+06        1.16693
5.30603e+06        1.18511
5.30612e+06        1.21085
5.30623e+06        1.24644
5.30675e+06        1.42934
5.30688e+06        1.48129
5.30697e+06        1.53481
5.30706e+06        1.60552
5.30716e+06        1.69538
5.3075e+06        2.06658
5.30778e+06        2.36993
5.30791e+06        2.47369
5.30797e+06        2.49671
5.30805e+06        2.49118
5.30811e+06        2.45649
5.30825e+06        2.32388
5.30878e+06        1.7121
5.30892e+06        1.56736
5.30898e+06        1.51599
5.30905e+06        1.4754
5.30911e+06        1.445
5.30919e+06        1.41814
5.30938e+06        1.37235
5.30988e+06        1.26117
5.31003e+06        1.23481
5.31019e+06        1.21911
5.31081e+06        1.17673
5.31109e+06        1.1616
5.31194e+06        1.13529
5.31225e+06        1.12899
5.31306e+06        1.11551
5.314e+06        1.1053
5.3155e+06        1.09495
5.3195e+06        1.07825
5.33e+06        1.05348
5.35e+06        1.00652
5.355e+06        0.989124
5.36e+06        0.971108
5.36106e+06        0.969776
5.362e+06        0.972129
5.36275e+06        0.977538
5.363e+06        0.980529
5.36381e+06        0.999658
5.36406e+06        1.0077
5.36444e+06        1.02508
5.36475e+06        1.04523
5.36506e+06        1.07094
5.36544e+06        1.11264
5.36575e+06        1.16061
5.36612e+06        1.23681
5.36644e+06        1.3212
5.367e+06        1.52882
5.36738e+06        1.70985
5.36788e+06        1.96361
5.36806e+06        2.04696
5.36831e+06        2.13888
5.36847e+06        2.1847
5.36875e+06        2.22137
5.369e+06        2.22381
5.36912e+06        2.21032
5.36975e+06        2.07179
5.37019e+06        1.94545
5.37062e+06        1.82741
5.371e+06        1.73551
5.37138e+06        1.65878
5.37181e+06        1.58235
5.37206e+06        1.54371
5.3725e+06        1.48643
5.37294e+06        1.43976
5.37338e+06        1.40051
5.37375e+06        1.37235
5.3745e+06        1.3244
5.375e+06        1.29935
5.37812e+06        1.21839
5.38e+06        1.17007
5.38484e+06        1.12264
5.39e+06        1.09538
5.41e+06        1.05225
5.435e+06        1.0337
5.46e+06        1.03079
5.48e+06        1.03769
5.51e+06        1.07264
5.53e+06        1.1195
5.56e+06        1.24877
5.59e+06        1.49002
5.603e+06        1.63566
5.612e+06        1.74278
5.622e+06        1.85347
5.634e+06        1.92189
5.63954e+06        1.91256
5.644e+06        1.88776
5.647e+06        1.86569
5.652e+06        1.82864
5.656e+06        1.80331
5.66e+06        1.78584
5.664e+06        1.78579
5.668e+06        1.82382
5.67012e+06        1.88272
5.67194e+06        1.98328
5.67225e+06        2.01885
5.67388e+06        2.23567
5.67406e+06        2.27561
5.67438e+06        2.37199
5.67594e+06        2.86941
5.67612e+06        2.88586
5.6765e+06        2.86069
5.67788e+06        2.74428
5.67806e+06        2.70594
5.67825e+06        2.64053
5.67981e+06        2.02868
5.68003e+06        1.96205
5.68025e+06        1.92497
5.68188e+06        1.73614
5.68212e+06        1.717
5.684e+06        1.6485
5.688e+06        1.60284
5.694e+06        1.57972
5.705e+06        1.54505
5.725e+06        1.46569
5.755e+06        1.34309
5.77e+06        1.28613
5.78e+06        1.25322
5.795e+06        1.20782
5.815e+06        1.15723
5.83e+06        1.12748
5.85e+06        1.10311
5.865e+06        1.10482
5.875e+06        1.12679
5.88938e+06        1.23743
5.895e+06        1.3379
5.9e+06        1.48918
5.905e+06        1.73398
5.915e+06        2.49461
5.9185e+06        2.60765
5.92116e+06        2.5467
5.93e+06        1.8646
5.93688e+06        1.4702
5.945e+06        1.19668
5.96e+06        0.96
5.966e+06        0.896659
5.972e+06        0.839327
5.978e+06        0.784531
5.982e+06        0.760124
5.986e+06        0.780081
5.989e+06        0.887817
5.99012e+06        0.955392
5.993e+06        1.25166
5.99575e+06        1.55806
5.997e+06        1.63499
5.999e+06        1.68212
6.00175e+06        1.62717
6.006e+06        1.4715
6.01e+06        1.35144
6.014e+06        1.26438
6.021e+06        1.16315
6.03e+06        1.08275
6.04e+06        1.02587
6.046e+06        1.00162
6.052e+06        0.984447
6.057e+06        0.97872
6.06e+06        0.982106
6.0635e+06        1.00285
6.06588e+06        1.0372
6.0675e+06        1.08567
6.06819e+06        1.11541
6.07e+06        1.2392
6.0705e+06        1.2954
6.07112e+06        1.38666
6.0715e+06        1.45616
6.07206e+06        1.58876
6.07238e+06        1.67856
6.07269e+06        1.78394
6.07312e+06        1.95548
6.07362e+06        2.18934
6.0745e+06        2.62618
6.07481e+06        2.74902
6.07512e+06        2.83258
6.07544e+06        2.86229
6.07594e+06        2.78455
6.07625e+06        2.67104
6.07662e+06        2.50243
6.0775e+06        2.07702
6.078e+06        1.87297
6.07838e+06        1.74363
6.07888e+06        1.60488
6.07938e+06        1.4942
6.07975e+06        1.42911
6.08038e+06        1.34266
6.081e+06        1.27993
6.08162e+06        1.23531
6.08212e+06        1.21066
6.084e+06        1.15852
6.08575e+06        1.15964
6.088e+06        1.19552
6.091e+06        1.26736
6.092e+06        1.28878
6.0965e+06        1.30193
6.1e+06        1.25523
6.105e+06        1.17723
6.11e+06        1.11725
6.116e+06        1.06979
6.122e+06        1.0374
6.128e+06        1.01596
6.135e+06        0.999081
6.15e+06        0.979809
6.165e+06        0.970984
6.18e+06        0.964453
6.195e+06        0.955332
6.22e+06        0.940703
6.245e+06        0.932093
6.27217e+06        0.931688
6.275e+06        0.932249
6.29e+06        0.934882
6.305e+06        0.94231
6.315e+06        0.953774
6.32e+06        0.962297
6.33e+06        0.987704
6.336e+06        1.00989
6.3425e+06        1.04127
6.355e+06        1.13051
6.364e+06        1.22724
6.37e+06        1.31123
6.376e+06        1.40772
6.382e+06        1.51449
6.3855e+06        1.57668
6.389e+06        1.63233
6.394e+06        1.68904
6.399e+06        1.69888
6.402e+06        1.68014
6.406e+06        1.62379
6.41e+06        1.53855
6.414e+06        1.43836
6.418e+06        1.33108
6.4235e+06        1.19325
6.43088e+06        1.0395
6.436e+06        0.956895
6.445e+06        0.850124
6.455e+06        0.7765
6.468e+06        0.724028
6.48e+06        0.697736
6.485e+06        0.692503
6.494e+06        0.692149
6.502e+06        0.698057
6.508e+06        0.705371
6.514e+06        0.713278
6.522e+06        0.729019
6.526e+06        0.737228
6.532e+06        0.747429
6.538e+06        0.760317
6.544e+06        0.777079
6.55e+06        0.795774
6.554e+06        0.812882
6.56e+06        0.838505
6.566e+06        0.872072
6.572e+06        0.905282
6.576e+06        0.927192
6.582e+06        0.957629
6.588e+06        0.981881
6.594e+06        1.0031
6.6e+06        1.0228
6.604e+06        1.03205
6.615e+06        1.05283
6.622e+06        1.06042
6.626e+06        1.06237
6.632e+06        1.0644
6.638e+06        1.06418
6.644e+06        1.06501
6.65e+06        1.06637
6.6545e+06        1.07465
6.658e+06        1.08801
6.661e+06        1.10956
6.664e+06        1.14296
6.666e+06        1.17438
6.6685e+06        1.22037
6.671e+06        1.25988
6.673e+06        1.26949
6.675e+06        1.25494
6.677e+06        1.22329
6.681e+06        1.14937
6.684e+06        1.10627
6.687e+06        1.07584
6.69e+06        1.05467
6.6925e+06        1.04173
6.696e+06        1.02912
6.7e+06        1.01855
6.72e+06        1.0202
6.73e+06        1.03834
6.75e+06        1.09096
6.77e+06        1.16671
6.79e+06        1.30052
6.81e+06        1.61288
6.825e+06        1.54843
6.84e+06        1.16136
6.86e+06        0.977265
6.88e+06        0.892611
6.91e+06        0.848484
6.93e+06        0.83886
6.97e+06        0.85357
6.98e+06        0.867965
7.01e+06        0.933653
7.03e+06        0.976009
7.06e+06        1.02792
7.075e+06        1.01716
7.1125e+06        1.009
7.125e+06        1.01626
7.145e+06        1.03677
7.165e+06        1.10316
7.18e+06        1.2761
7.19125e+06        1.53999
7.205e+06        1.74348
7.225e+06        1.51751
7.24e+06        1.3817
7.26e+06        1.29391
7.275e+06        1.27575
7.3e+06        1.27656
7.32e+06        1.33486
7.34e+06        1.35127
7.36e+06        1.28016
7.375e+06        1.23739
7.41e+06        1.24455
7.43e+06        1.21564
7.475e+06        1.15334
7.5e+06        1.11931
7.525e+06        1.12919
7.55e+06        1.12557
7.57e+06        1.11884
7.58e+06        1.11332
7.61e+06        1.11374
7.625e+06        1.13172
7.67e+06        1.20483
7.69e+06        1.23918
7.725e+06        1.29927
7.75e+06        1.34472
7.78e+06        1.38677
7.82e+06        1.43904
7.85e+06        1.46511
7.87e+06        1.46013
7.88e+06        1.428
7.9e+06        1.32542
7.925e+06        1.19511
7.95e+06        1.04686
7.975e+06        0.930092
7.995e+06        0.875102
8.02e+06        0.854174
8.04e+06        0.869606
8.07e+06        0.919136
8.1e+06        0.999508
8.13125e+06        1.09869
8.16e+06        1.19286
8.175e+06        1.2306
8.19e+06        1.26294
8.225e+06        1.32672
8.25e+06        1.35434
8.27e+06        1.36129
8.29e+06        1.35666
8.31e+06        1.34685
8.325e+06        1.33468
8.375e+06        1.27796
8.395e+06        1.24922
8.42e+06        1.22525
8.45e+06        1.19904
8.48e+06        1.16799
